"words","topics","probability","frequency","saliency","lift","phi","relevance"
"company",1,1.96333422455453e-06,12,0.00224520975202496,0.000842187311101582,1.96333422455453e-06,-10.1101872518791
"company",2,2.22181898658573e-16,12,0.00224520975202496,9.53066337185482e-14,2.22181898658573e-16,-33.0123561210313
"company",3,0.0061231328040799,12,0.00224520975202496,2.6265648952134,0.0061231328040799,-2.0650022741833
"complaint",1,1.00179894892762e-06,7,0.00131014310970991,0.000736678448765743,1.00179894892762e-06,-10.5135361418281
"complaint",2,2.86793449523563e-11,7,0.00131014310970991,2.10895163882289e-08,2.86793449523563e-11,-20.9746668569547
"complaint",3,0.0035719580234856,7,0.00131014310970991,2.62665926992087,0.0035719580234856,-2.33446428420149
"computer",1,4.04262411483679e-05,9,0.00160232992218844,0.0231245578975007,4.04262411483679e-05,-6.94144578209477
"computer",2,3.77997496613314e-14,9,0.00160232992218844,2.16221561719393e-11,3.77997496613314e-14,-27.7318882466407
"computer",3,0.00455689924381006,9,0.00160232992218844,2.60663067856896,0.00455689924381006,-2.21652720876424
"convenience",1,0.00336510626433892,6,0.00123443145348365,2.93680272589863,0.00336510626433892,-2.30848712784949
"convenience",2,1.33173347048136e-09,6,0.00123443145348365,1.16223327855248e-06,1.33173347048136e-09,-17.0509757728503
"convenience",3,8.87695384606114e-18,6,0.00123443145348365,7.74711411911688e-15,8.87695384606114e-18,-35.8772646018561
"conversation",1,0.00487832531632023,10,0.00120814836045923,2.54824560983228,0.00487832531632023,-2.1937740823257
"conversation",2,0.000134996193419789,10,0.00120814836045923,0.0705167111498688,0.000134996193419789,-5.78108476823997
"conversation",3,0.000566550169780033,10,0.00120814836045923,0.295943564497808,0.000566550169780033,-4.34676571189035
"corner",1,1.174180207023e-19,7,0.00175332378699536,8.55180135698844e-17,1.174180207023e-19,-40.2931755970289
"corner",2,0.00492338321004929,7,0.00175332378699536,3.58580352188212,0.00492338321004929,-2.01838837856228
"corner",3,1.161160692613e-26,7,0.00175332378699536,8.4569774957678e-24,1.161160692613e-26,-56.4224213539946
"counter",1,0.00448680976836996,8,0.00164591798805121,2.93680367777761,0.00448680976836996,-2.16464577177645
"counter",2,2.13586650118553e-20,8,0.00164591798805121,1.39801349282576e-17,2.13586650118553e-20,-42.0508618628971
"counter",3,7.59112306906405e-25,8,0.00164591798805121,4.96870589541151e-22,7.59112306906405e-25,-52.295680200167
"couple",1,0.00711244111132584,18,0.00156290915688633,2.05854982431813,0.00711244111132584,-2.11195399652257
"couple",2,6.92605548569889e-06,18,0.00156290915688633,0.00200460433768642,6.92605548569889e-06,-9.04626433815361
"couple",3,0.00270958341344893,18,0.00156290915688633,0.784233201010059,0.00270958341344893,-3.07700461523744
"course",1,1.30273231989025e-08,20,0.00500944155129081,3.32082580123489e-06,1.30273231989025e-08,-15.3857569856333
"course",2,0.0140667928345197,20,0.00500944155129081,3.58579946718715,0.0140667928345197,-1.49347846239017
"course",3,1.39500908849462e-14,20,0.00500944155129081,3.55605069690785e-12,1.39500908849462e-14,-29.1328304566349
