"","counts","tfidf","positivity","negativity","sentiment","words"
"206",6,0.487003788514262,0.00350262697022767,0.00700525394045534,0.5,"anyways"
"207",1,0.0934423156669678,0.00175131348511384,0,Inf,"anywayslast"
"208",11,1.548111321431,0.00350262697022767,0.0157618213660245,0.222222222222222,"anywhere"
"209",1,0.0934423156669678,0.00175131348511384,0,Inf,"anywho"
"210",1,0.0427913408194525,0,0.00175131348511384,0,"aok"
"211",1,0.305244897845428,0,0.00175131348511384,0,"aol"
"212",2,0.234755947001125,0.00175131348511384,0.00175131348511384,1,"apart"
"213",1,0.254370748204523,0,0.00175131348511384,0,"apologetically"
"214",1,0.0610489795690856,0.00175131348511384,0,Inf,"apologies"
"215",3,0.234442344062147,0,0.00525394045534151,0,"apologize"
"216",5,0.341396746092935,0.00175131348511384,0.00700525394045534,0.25,"apologized"
"217",2,0.0641363886809855,0,0.00350262697022767,0,"apologizes"
"218",5,0.425265867561491,0,0.00875656742556918,0,"apology"
"219",6,0.267336154153473,0.00525394045534151,0.00525394045534151,1,"app"
"220",1,0.0284389656377728,0,0.00175131348511384,0,"appalled"
"221",2,0.0978311188401907,0.00175131348511384,0.00175131348511384,1,"apparent"
"222",18,1.00354378204688,0.00350262697022767,0.0280210157618214,0.125,"apparently"
"223",2,0.124154065046321,0,0.00350262697022767,0,"appear"
"224",2,0.157057265488777,0,0.00350262697022767,0,"appeared"
"225",22,2.72011434830385,0.0262697022767075,0.0122591943957968,2.14285714285714,"apple"
"226",1,0.176102825680055,0,0.00175131348511384,0,"applebees"
"227",2,0.151061980284497,0,0.00350262697022767,0,"apples"
"228",1,0.0627215543518003,0,0.00175131348511384,0,"applestoreripoff"
"229",1,0.327048104834387,0,0.00175131348511384,0,"applicable"
"230",1,0.0654096209668775,0.00175131348511384,0,Inf,"applied"
"231",1,0.0715417729325222,0,0.00175131348511384,0,"applies"
"232",2,0.335890756161999,0.00175131348511384,0.00175131348511384,1,"apply"
"233",2,0.22972765578838,0.00175131348511384,0.00175131348511384,1,"applying"
"234",5,0.63685603136604,0.00350262697022767,0.00525394045534151,0.666666666666667,"appointment"
"235",1,0.179555822262017,0,0.00175131348511384,0,"appoitmentforget"
"236",9,1.99167643568433,0.0140105078809107,0.00175131348511384,8,"appreciate"
"237",11,1.49770759830557,0.0157618213660245,0.00350262697022767,4.5,"appreciated"
"238",3,0.499601279219014,0,0.00525394045534151,0,"approach"
"239",9,0.804500458944628,0.00350262697022767,0.0122591943957968,0.285714285714286,"approached"
"240",3,0.232391431085407,0,0.00525394045534151,0,"approaches"
"241",1,0.143083545865044,0.00175131348511384,0,Inf,"approaching"
"242",2,0.135639606018243,0.00175131348511384,0.00175131348511384,1,"appropriate"
"243",3,0.344752630720973,0.00175131348511384,0.00350262697022767,0.5,"approval"
"244",1,0.0271731363067147,0,0.00175131348511384,0,"approved"
"245",2,0.254041087978439,0,0.00350262697022767,0,"approximately"
"246",12,1.34566444441078,0.010507880910683,0.010507880910683,1,"apps"
"247",1,0.0284389656377728,0,0.00175131348511384,0,"appt"
"248",1,0.0756805531848169,0,0.00175131348511384,0,"april"
"249",1,0.53866746678605,0.00175131348511384,0,Inf,"aquilar"
"250",1,0.172780130855903,0,0.00175131348511384,0,"arboretum"
"251",1,0.234803767573406,0,0.00175131348511384,0,"arcadia"
"252",18,1.81616325161185,0.0122591943957968,0.0192644483362522,0.636363636363636,"area"
"253",7,0.713625363117046,0.00525394045534151,0.00700525394045534,0.75,"arent"
"254",2,0.0995363797322048,0,0.00350262697022767,0,"argh"
"255",1,0.0236014096272238,0,0.00175131348511384,0,"argue"
"256",4,0.470340257545092,0.00350262697022767,0.00350262697022767,1,"arizona"
"257",2,0.165622917678614,0,0.00350262697022767,0,"arm"
"258",1,0.0610489795690856,0.00175131348511384,0,Inf,"armed"
"259",49,2.60758534622939,0.0297723292469352,0.0560420315236427,0.53125,"around"
"260",1,0.155209270090896,0,0.00175131348511384,0,"aroyo"
"261",1,0.100630186102888,0,0.00175131348511384,0,"arranged"
"262",2,0.485591614301091,0.00175131348511384,0.00175131348511384,1,"arrival"
"263",7,0.423066649681273,0,0.0122591943957968,0,"arrive"
"264",19,2.10410381242695,0.00875656742556918,0.0245183887915937,0.357142857142857,"arrived"
"265",3,0.25401069229589,0.00350262697022767,0.00175131348511384,2,"arriving"
"266",1,0.172780130855903,0,0.00175131348511384,0,"arrogance"
"267",1,0.26163848386751,0,0.00175131348511384,0,"arrogant"
"268",1,0.0319071321789646,0,0.00175131348511384,0,"arrrrrrrgh"
"269",3,0.533832985175073,0.00350262697022767,0.00175131348511384,2,"art"
"270",2,0.351885554074476,0,0.00350262697022767,0,"artist"
"271",1,0.120491407044248,0,0.00175131348511384,0,"artists"
"272",1,0.0224996239198104,0,0.00175131348511384,0,"asafp"
"273",2,0.0940126914741017,0,0.00350262697022767,0,"asap"
"274",1,0.055164740574475,0.00175131348511384,0,Inf,"ashamed"
"275",1,0.305244897845428,0,0.00175131348511384,0,"ashley"
"276",2,0.232700597661968,0,0.00350262697022767,0,"aside"
"277",73,5.81645452683847,0.0402802101576182,0.0875656742556918,0.46,"ask"
"278",112,4.03361883394607,0.021015761821366,0.175131348511384,0.12,"asked"
"279",22,1.69550796482883,0.00875656742556918,0.0297723292469352,0.294117647058824,"asking"
"280",6,0.504203009949056,0,0.010507880910683,0,"asks"
"281",1,0.0375301103908313,0,0.00175131348511384,0,"asleep"
"282",2,0.212911885419848,0.00350262697022767,0,Inf,"aspect"
"283",1,0.0224996239198104,0,0.00175131348511384,0,"ass"
"284",1,0.0906668013402262,0.00175131348511384,0,Inf,"assciate"
"285",2,0.136576149110849,0,0.00350262697022767,0,"asshole"
"286",3,0.195224422724458,0,0.00525394045534151,0,"assholes"
"287",4,0.229646765174283,0.00175131348511384,0.00525394045534151,0.333333333333333,"assigned"
"288",4,0.426596831701165,0.00175131348511384,0.00525394045534151,0.333333333333333,"assist"
"289",14,1.95534675573356,0.0122591943957968,0.0122591943957968,1,"assistance"
"290",5,0.465843019217797,0,0.00875656742556918,0,"assistant"
"291",1,0.0863900654279514,0,0.00175131348511384,0,"assistantcloud"
"292",9,1.29439258050887,0.00875656742556918,0.00700525394045534,1.25,"assisted"
"293",1,0.277495361677662,0,0.00175131348511384,0,"assisting"
"294",28,2.25919896135715,0.0122591943957968,0.0367775831873905,0.333333333333333,"associate"
"295",1,0.100630186102888,0,0.00175131348511384,0,"associatean"
"296",17,2.0338476722838,0.00875656742556918,0.021015761821366,0.416666666666667,"associates"
"297",1,0.366293877414514,0.00175131348511384,0,Inf,"asst"
"298",2,0.0616617384799653,0,0.00350262697022767,0,"assume"
"299",6,0.483924369935148,0,0.010507880910683,0,"assumed"
