"From","To","Co-occurance"
"Lamps","Clothing",0
"Watches","Clothing",1
"Furniture","Clothing",0
"Management","Clean",0
"Jewelry","Clean",0
"Macy.s.Card","Clean",0
"Returns","Clean",0
"Location","Clean",1
"Shoes","Clean",0
"Customer.Service","Clean",0
"Associate","Clean",0
"Purse","Clean",1
"Delivery","Clean",0
"Website","Clean",0
"Display","Clean",0
"Fashion","Clean",0
"Dillard.s","Clean",0
"Kohl.s","Clean",0
"Register","Clean",0
"Time","Clean",0
"Deal","Clean",1
"Quality","Clean",0
"Clothing","Clean",0
"Clean","Clean",0
"Cosmetics","Clean",0
"Price","Clean",0
"Women","Clean",0
"Men","Clean",0
"Bedding","Clean",0
"Wedding","Clean",0
"Mattress","Clean",0
"Bathroom","Clean",0
"Lamps","Clean",0
"Watches","Clean",0
"Furniture","Clean",0
"Management","Cosmetics",0
"Jewelry","Cosmetics",0
"Macy.s.Card","Cosmetics",1
"Returns","Cosmetics",0
"Location","Cosmetics",1
"Shoes","Cosmetics",0
"Customer.Service","Cosmetics",0
"Associate","Cosmetics",2
"Purse","Cosmetics",0
"Delivery","Cosmetics",0
"Website","Cosmetics",0
"Display","Cosmetics",0
"Fashion","Cosmetics",0
"Dillard.s","Cosmetics",0
"Kohl.s","Cosmetics",0
"Register","Cosmetics",0
"Time","Cosmetics",3
"Deal","Cosmetics",1
"Quality","Cosmetics",0
"Clothing","Cosmetics",2
"Clean","Cosmetics",0
"Cosmetics","Cosmetics",0
"Price","Cosmetics",0
"Women","Cosmetics",0
"Men","Cosmetics",0
"Bedding","Cosmetics",0
"Wedding","Cosmetics",0
"Mattress","Cosmetics",0
"Bathroom","Cosmetics",0
"Lamps","Cosmetics",0
"Watches","Cosmetics",1
"Furniture","Cosmetics",0
"Management","Price",0
"Jewelry","Price",0
"Macy.s.Card","Price",0
"Returns","Price",0
"Location","Price",0
"Shoes","Price",0
"Customer.Service","Price",0
"Associate","Price",0
"Purse","Price",0
"Delivery","Price",0
"Website","Price",0
"Display","Price",0
"Fashion","Price",0
"Dillard.s","Price",0
"Kohl.s","Price",0
"Register","Price",0
"Time","Price",1
"Deal","Price",4
"Quality","Price",1
"Clothing","Price",0
"Clean","Price",0
"Cosmetics","Price",0
"Price","Price",0
"Women","Price",1
"Men","Price",0
"Bedding","Price",0
"Wedding","Price",0
"Mattress","Price",0
"Bathroom","Price",0
"Lamps","Price",0
"Watches","Price",0
"Furniture","Price",2
"Management","Women",0
"Jewelry","Women",1
"Macy.s.Card","Women",0
"Returns","Women",0
"Location","Women",0
"Shoes","Women",3
"Customer.Service","Women",0
"Associate","Women",0
"Purse","Women",0
"Delivery","Women",0
"Website","Women",0
"Display","Women",0
"Fashion","Women",1
"Dillard.s","Women",0
"Kohl.s","Women",0
"Register","Women",0
"Time","Women",0
"Deal","Women",4
"Quality","Women",0
"Clothing","Women",1
"Clean","Women",0
"Cosmetics","Women",0
"Price","Women",1
"Women","Women",0
"Men","Women",1
"Bedding","Women",1
"Wedding","Women",0
"Mattress","Women",0
"Bathroom","Women",0
"Lamps","Women",0
"Watches","Women",0
"Furniture","Women",0
"Management","Men",1
"Jewelry","Men",0
"Macy.s.Card","Men",1
"Returns","Men",0
"Location","Men",0
"Shoes","Men",3
"Customer.Service","Men",2
"Associate","Men",0
"Purse","Men",0
"Delivery","Men",1
"Website","Men",0
"Display","Men",0
"Fashion","Men",0
"Dillard.s","Men",0
"Kohl.s","Men",0
"Register","Men",0
